accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PXD000062,5,11,A bioinformatics approach for integrated transcriptomic and proteomic comparative analyses of model and non-sequenced anopheline vectors of human malaria parasites,PARTIAL,2012-11-01,2012-11-02,https://www.ebi.ac.uk/pride/archive/projects/PXD000062
PXD000292,5,10,ChaFRADIC: A novel SCX-based approach for N-terminal Enrichment,PARTIAL,2013-06-20,2013-08-09,https://www.ebi.ac.uk/pride/archive/projects/PXD000292
PXD000305,5,8,Proteomics identifies ubiquitin-proteasome targets and new roles for chromatin-remodelling in the Arabidopsis response to phosphate starvation,COMPLETE,2020-01-22,2020-01-22,https://www.ebi.ac.uk/pride/archive/projects/PXD000305
PXD000378,5,26,Functional analysis of the rodent tau mutation in a marine unicellular alga,COMPLETE,2013-07-29,2013-10-18,https://www.ebi.ac.uk/pride/archive/projects/PXD000378
PXD000959,5,7,N-linked glycoproteome of human seminal plasma,PARTIAL,2014-05-08,2014-12-15,https://www.ebi.ac.uk/pride/archive/projects/PXD000959
PXD000963,5,253,Proteins from formalin-fixed paraffin-embedded prostate cancer sections that predict the risk of metastatic disease,COMPLETE,2017-08-01,2015-09-14,https://www.ebi.ac.uk/pride/archive/projects/PXD000963
PXD001058,5,10,Unravelling the proteomic profile of rice meiocytes during early meiosis,PARTIAL,2014-06-12,2014-08-13,https://www.ebi.ac.uk/pride/archive/projects/PXD001058
PXD001522,5,26,Human “free-N-terminome” analysis,PARTIAL,2014-11-20,2015-06-02,https://www.ebi.ac.uk/pride/archive/projects/PXD001522
PXD001562,5,9,DYn-2 based identification of Arabidopsis sulfenomes,COMPLETE,2014-12-02,2016-06-27,https://www.ebi.ac.uk/pride/archive/projects/PXD001562
PXD001993,5,20,Male accessory glands of Apis melifera drones,COMPLETE,2015-03-30,2015-05-12,https://www.ebi.ac.uk/pride/archive/projects/PXD001993
PXD002028,5,52,Tissue-specific Proteogenomic Analysis of Plutella xylostella Larval Midgut Using a Multi-algorithm Pipeline,PARTIAL,2015-04-08,2015-10-12,https://www.ebi.ac.uk/pride/archive/projects/PXD002028
