accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PAD000011,2,5,The effect of preanalytical factors on cerebrospinal fluid and plasma proteomics,AFFINITY,2025-06-13,2026-09-06,https://www.ebi.ac.uk/pride/archive/projects/PAD000011
PAD000014,2,5,Human Plasma Discovery Proteomics,AFFINITY,2025-08-11,2025-10-09,https://www.ebi.ac.uk/pride/archive/projects/PAD000014
PAD000021,2,5,The Childhood Acute Illness and Nutrition (CHAIN) network nested case-cohort study: Plasma Proteomics analysis using SomaScan assay,AFFINITY,2025-10-27,2025-10-28,https://www.ebi.ac.uk/pride/archive/projects/PAD000021
PAD000040,2,5,Inflammatory proteomics heterogeneity beyond glycemia status in severe obesity,AFFINITY,2026-04-28,2026-06-07,https://www.ebi.ac.uk/pride/archive/projects/PAD000040
PAD000045,2,3,Early clinical and biomarker responses after treatment in patients with non-segmental vitiligo.,AFFINITY,2026-05-18,2026-05-19,https://www.ebi.ac.uk/pride/archive/projects/PAD000045
PXD000083,2,9,Glycosyltransferases from oat (Avena) implicated in the acylation of avenacins,COMPLETE,2012-12-03,2013-04-24,https://www.ebi.ac.uk/pride/archive/projects/PXD000083
PXD000112,2,10,Zebrafish plasma analyzed by CE- and LC-MS/MS,PARTIAL,2012-12-18,2012-12-18,https://www.ebi.ac.uk/pride/archive/projects/PXD000112
PXD000132,2,8,Analysis of lung cancer cell lines GLC1 and GLC1 M13,COMPLETE,2013-01-24,2013-07-26,https://www.ebi.ac.uk/pride/archive/projects/PXD000132
PXD000168,2,3,mouse microglia using High-pH fractionation and LC-MS/MS,PARTIAL,2013-03-01,2013-09-11,https://www.ebi.ac.uk/pride/archive/projects/PXD000168
PXD000178,2,11,Cotton Fiber Glycoproteome -  Glycoproteome of elongating cotton fiber cells,PARTIAL,2013-03-08,2014-03-18,https://www.ebi.ac.uk/pride/archive/projects/PXD000178
PXD000182,2,12,Arabidopsis nanodomain-delimited ABA signaling pathway regulates the anion channel SLAH3,PARTIAL,2013-03-15,2013-09-02,https://www.ebi.ac.uk/pride/archive/projects/PXD000182
PXD000235,2,8,bHLH Transcription Factors that Facilitate K+ Uptake During Stomatal Opening are Repressed by Abscisic Acid through Phosphorylation,COMPLETE,2013-05-01,2013-06-28,https://www.ebi.ac.uk/pride/archive/projects/PXD000235
PXD000274,2,5,Redox proteomics in NO-mediated protection on hypoxic cardiomyocyte,COMPLETE,2016-06-22,2016-06-27,https://www.ebi.ac.uk/pride/archive/projects/PXD000274
PXD000384,2,7,V5-tagged LIMD1 in HEK293 cells with or without JNK2 activation,COMPLETE,2013-07-31,2014-07-09,https://www.ebi.ac.uk/pride/archive/projects/PXD000384
PXD000459,2,10,Identification of SUMO sites by LC-MSMS,PARTIAL,2013-09-11,2014-07-29,https://www.ebi.ac.uk/pride/archive/projects/PXD000459
PXD000515,2,11,RALF induced quantitative phosphoproteome changes in Arabidopsis thaliana,COMPLETE,2016-12-06,2016-12-06,https://www.ebi.ac.uk/pride/archive/projects/PXD000515
PXD000664,2,5,"Identification of a novel poly-n-acetyllactosamine counterreceptor for galectin-8 on HL-60 cells, Basigin",COMPLETE,2013-12-20,2018-02-09,https://www.ebi.ac.uk/pride/archive/projects/PXD000664
PXD000706,2,13,Interactome of the Legionella pneumophila effector PieE,COMPLETE,2014-01-22,2017-02-08,https://www.ebi.ac.uk/pride/archive/projects/PXD000706
