accession,raw_file_count,total_file_count,title,submission_type,submission_date,publication_date,project_url
PAD000003,1,8,Multi-omics identify LRRC15 as a COVID-19 severity predictor and persistent pro-thrombotic signals in convalescence,AFFINITY,2025-02-27,2025-03-17,https://www.ebi.ac.uk/pride/archive/projects/PAD000003
PAD000010,1,4,Human whole plasma RFU quantitative proteomics for pre-post meditation retreat,AFFINITY,2025-06-02,2025-11-17,https://www.ebi.ac.uk/pride/archive/projects/PAD000010
PAD000016,1,6,Plasma Proteome adaptations in Feminising Gender Affirming Hormone therapy and Pregnancy,AFFINITY,2025-09-11,2025-09-16,https://www.ebi.ac.uk/pride/archive/projects/PAD000016
PAD000020,1,3,Human Plasma Discovery Proteomics,AFFINITY,2025-10-16,2025-10-20,https://www.ebi.ac.uk/pride/archive/projects/PAD000020
PAD000026,1,3,Charting the Circulating Proteome in ME/CFS Using Cross System Profiling to Uncover Mechanistic Insights,AFFINITY,2026-01-09,2026-01-21,https://www.ebi.ac.uk/pride/archive/projects/PAD000026
PAD000041,1,3,Longitudinal Olink affinity proteomics profiling of cytokine release syndrome in myeloma patients receiving BCMA-directed CAR-T therapy,AFFINITY,2026-04-28,2026-04-28,https://www.ebi.ac.uk/pride/archive/projects/PAD000041
PAD000051,1,4,SomaScan of Plasma from Psilocybin-Treated Human Participants,AFFINITY,2026-07-02,2026-09-08,https://www.ebi.ac.uk/pride/archive/projects/PAD000051
PAD000052,1,2,Plasma proteomics defines two reproducible subphenotypes of sepsis-associated acute kidney injury with distinct outcomes,AFFINITY,2026-07-10,2026-07-28,https://www.ebi.ac.uk/pride/archive/projects/PAD000052
PXD000001,1,9,TMT spikes -  Using R and Bioconductor for proteomics data analysis,COMPLETE,2012-03-13,2012-03-07,https://www.ebi.ac.uk/pride/archive/projects/PXD000001
PXD000064,1,3,The conserved set of host proteins incorporated into HIV-1 virions suggests a common egress pathway in multiple cell types,PARTIAL,2012-11-05,2013-08-02,https://www.ebi.ac.uk/pride/archive/projects/PXD000064
PXD000133,1,15,Equine Cerebrospinal Fluid - data analysis,PARTIAL,2013-01-28,2014-04-23,https://www.ebi.ac.uk/pride/archive/projects/PXD000133
PXD000170,1,3,Identifying sources of tick blood meals using unidentified tandem mass spectral libraries,PARTIAL,2013-03-01,2014-04-03,https://www.ebi.ac.uk/pride/archive/projects/PXD000170
PXD000183,1,2,Human kidney primary proximal tubule cell LC-MSMS,PARTIAL,2013-03-17,2013-07-18,https://www.ebi.ac.uk/pride/archive/projects/PXD000183
PXD000186,1,3,AtT 20 endogenous peptides -  Improving the identification rate of endogenous peptides using electron transfer dissociation and collision-induced dissociation,PARTIAL,2013-03-18,2014-06-09,https://www.ebi.ac.uk/pride/archive/projects/PXD000186
PXD000213,1,5,Pandoravirus proteome -  Pandoraviruses: amoeba viruses with genomes up to 2,COMPLETE,2013-04-11,2013-07-19,https://www.ebi.ac.uk/pride/archive/projects/PXD000213
PXD000249,1,5,DNA repair in Mycoplasma gallisepticum,COMPLETE,2014-07-30,2014-07-30,https://www.ebi.ac.uk/pride/archive/projects/PXD000249
PXD000333,1,24,Human Primary T-cells Phospoproteomic WorkFlow,PARTIAL,2013-07-10,2014-09-16,https://www.ebi.ac.uk/pride/archive/projects/PXD000333
PXD000348,1,7,ESI-LC-MS/MS of magnetosome membrane enclosing magnetite particles of Rhodospirillum rubrum_ABG6X,COMPLETE,2013-07-18,2014-03-05,https://www.ebi.ac.uk/pride/archive/projects/PXD000348
PXD000352,1,4,Proteomic of spearmint (Mentha spicata L.) leaf trichomes,PARTIAL,2013-07-22,2013-10-17,https://www.ebi.ac.uk/pride/archive/projects/PXD000352
PXD000377,1,3,Proteomic analysis of purified protein derivative of mycobacterium tuberculosis,PARTIAL,2013-07-29,2014-01-23,https://www.ebi.ac.uk/pride/archive/projects/PXD000377
PXD000440,1,5,Qualitatively Different T Cell Phenotypic Responses to IL-2 versus IL-15 are Unified by Identical Dependences on Receptor Signal Strength and Duration,COMPLETE,2013-09-02,2013-11-07,https://www.ebi.ac.uk/pride/archive/projects/PXD000440
PXD000460,1,5,Pithovirus particle proteome -  Thirty-thousand-year-old distant relative of giant icosahedral DNA viruses with a pandoravirus morphology,COMPLETE,2013-09-12,2014-02-12,https://www.ebi.ac.uk/pride/archive/projects/PXD000460
PXD000477,1,2,Mspire-Simulator: LC-MS shotgun proteomic simulator for creating realistic gold standard data - HEK cell lysate,PARTIAL,2020-01-24,2020-01-24,https://www.ebi.ac.uk/pride/archive/projects/PXD000477
PXD000509,1,5,Identification and monitoring of host cell proteins by mass spectrometry combined with high performance immunochemistry testing,COMPLETE,2013-10-09,2014-04-15,https://www.ebi.ac.uk/pride/archive/projects/PXD000509
PXD000517,1,3,Discovery of serum protein biomarkers of Active Tuberculosis in HIV- and HIV+ Individuals (US center),PARTIAL,2019-11-22,2019-11-22,https://www.ebi.ac.uk/pride/archive/projects/PXD000517
PXD000520,1,4,Lysine Methylation Promotes VEGFR-2 Activation and Angiogenesis,PARTIAL,2019-11-22,2019-11-22,https://www.ebi.ac.uk/pride/archive/projects/PXD000520
PXD000579,1,1064,A proteome reference map of the wine lactic acid bacterium Oenococcus oeni ATCC BAA-1163,COMPLETE,2013-11-13,2014-04-16,https://www.ebi.ac.uk/pride/archive/projects/PXD000579
PXD000588,1,2,"A Quantitative Chemical Proteomics Approach to Profile the Specific Cellular Targets of Andrographolide, a Promising Anticancer Agent that Suppresses Tumor Metastasis",PARTIAL,2019-11-19,2019-11-28,https://www.ebi.ac.uk/pride/archive/projects/PXD000588
PXD000606,1,2,Proteomic Analysis of Protein Methylation in the Yeast Saccharomyces cerevisiae,PARTIAL,2020-01-27,2020-01-27,https://www.ebi.ac.uk/pride/archive/projects/PXD000606
PXD000659,1,3,The circadian clock output deubiquitylating enzyme USP2-45 regulates intestinal Ca2+ absorption,PARTIAL,2016-03-02,2016-01-22,https://www.ebi.ac.uk/pride/archive/projects/PXD000659
PXD000662,1,388,Proteomic profiling and characterization of differential allergens in the nematodes Anisakis simplex sensu stricto and A. pegreffii,COMPLETE,2013-12-19,2014-07-11,https://www.ebi.ac.uk/pride/archive/projects/PXD000662
PXD000674,1,5,PeptideShaker - PeptideShaker is a user friendly tool for shotgun proteomic data interpretation and reprocessing. ,COMPLETE,2014-01-23,2014-01-27,https://www.ebi.ac.uk/pride/archive/projects/PXD000674
PXD000679,1,331,A Pilot Proteomic Study of Protein Markers in Autism Spectrum Disorder,COMPLETE,2017-07-31,2022-02-22,https://www.ebi.ac.uk/pride/archive/projects/PXD000679
PXD000700,1,4,Proteomic analysis of accessory gland in sexually mature Eriocheir sinensis,COMPLETE,2014-01-21,2015-08-07,https://www.ebi.ac.uk/pride/archive/projects/PXD000700
PXD000744,1,7,CNB Lipid Rafts reAnalysis. - This dataset represents an example for a textbook: Genomics and Proteomics for Clinical Discovery and Development,COMPLETE,2014-02-06,2014-07-14,https://www.ebi.ac.uk/pride/archive/projects/PXD000744
PXD000808,1,5,Transcriptome and Proteomic Analysis of Mango (Mangifera indica Linn) Fruits,COMPLETE,2014-03-10,2015-02-20,https://www.ebi.ac.uk/pride/archive/projects/PXD000808
